Año,Ubicación,Cocaína (kg),Marihuana (kg),Sustancias Químicas Sólidas (kg),Sustancias Químicas Líquidas (L),Latitud,Longitud,País,Base de Coca (kg),Armas Incautadas,Laboratorios Destruidos,CASOS_x,HEROAINA_(KG),TOTAL_DROGAS_KG.,Intervenciones
2021,LOS RIOS,17.61,53.03,,,-1.4998,-79.476,Ecuador,12.13,,non,506,329.61,412.4,
2021,MANABI,,,249.0,7975.82,-0.7423,-80.0932,Ecuador,,,non,non,non,non,
2021,MORONA SANTIAGO,0.0,4.83,,,-2.9134,-78.2633,Ecuador,0.0,,non,95,9.77,14.6,
2021,NAPO,,,1497.98,0.0,-0.9917,-77.8121,Ecuador,,,non,non,non,non,
2021,ORELLANA,0.24,262.7,,,-0.4667,-76.9873,Ecuador,0.03,,non,72,28.67,291.6,
2021,PASTAZA,0.12,1.85,,,-1.4445,-78.0027,Ecuador,0.0,,non,90,5.99,8,
2021,PICHINCHA,,,44.43,0.0,-0.2333,-78.5167,Ecuador,,,non,non,non,non,
2021,SANTA ELENA,0.25,12.09,,,-2.2297,-80.8594,Ecuador,3.18,,non,176,8.75,24.3,
2021,SANTO DOMINGO DE LOS TSACHILAS,98.41,31.69,,,-0.2531,-79.1753,Ecuador,0.08,,non,417,836.84,967,
2021,SUCUMBIOS,,,,,0.0881,-76.8898,Ecuador,,,2,non,non,non,
2021,TUNGURAHUA,12.1,20.48,,,-1.2591,-78.5469,Ecuador,0.0,,non,253,1177.46,1210,
2021,ZAMORA CHINCHIPE,0.02,16.81,,,-4.0689,-78.9513,Ecuador,1.44,,non,41,4.8,23.1,
2022,AZUAY,6.21,12.57,,,-2.8974,-79.0045,Ecuador,0.0,,non,214,69.44,88.23,
2022,BOLIVAR,0.02,1.25,,,-1.5932,-79.0193,Ecuador,0.0,,non,46,8.71,9.98,
2022,CARCHI,,,7500.0,0.0,0.81,-77.8355,Ecuador,,,non,non,non,non,
2022,CAÑAR,0.04,12.17,,,-2.56,-78.94,Ecuador,0.02,,non,121,5.99,18.22,
2022,CHIMBORAZO,0.97,6.38,,,-1.6643,-78.6546,Ecuador,0.0,,non,129,73.23,80.57,
2022,COTOPAXI,0.08,10.41,,,-0.8082,-78.8084,Ecuador,0.0,,non,135,37.26,47.75,
2022,EL ORO,,,546.58,0.0,-3.2581,-79.9557,Ecuador,,,non,non,non,non,
2022,ESMERALDAS,146.28,66.6,,,0.9682,-79.6517,Ecuador,0.0,,1,461,1905.91,2118.8,
2022,GALAPAGOS,25.53,2.56,,,-0.9538,-90.9656,Ecuador,0.0,,non,44,3.16,31.25,
2022,GUAYAS,,,4247.08,1121.61,-1.9426,-79.6971,Ecuador,,,non,non,non,non,
2022,IMBABURA,,,3950.0,480.0,0.353,-78.121,Ecuador,,,non,non,non,non,
2022,LOJA,2.48,17.46,,,-3.9931,-79.2042,Ecuador,0.0,,non,205,104.03,123.97,
2022,LOS RIOS,0.02,172.33,,,-1.4998,-79.476,Ecuador,1.25,,non,391,468.7,642.3,
2022,MANABI,355.78,57.78,,,-0.7423,-80.0932,Ecuador,0.29,,non,647,442.39,856.24,
2022,MORONA SANTIAGO,0.45,4.11,,,-2.9134,-78.2633,Ecuador,0.0,,non,81,14.17,18.74,
2022,NAPO,,,0.0,35.01,-0.9917,-77.8121,Ecuador,,,non,non,non,non,
2022,ORELLANA,3.96,6.46,,,-0.4667,-76.9873,Ecuador,0.0,,non,95,6.92,17.35,
2022,PASTAZA,113.51,153.5,,,-1.4445,-78.0027,Ecuador,0.0,,non,106,45.5,312.52,
2022,PICHINCHA,3.19,158.52,54677.84,18.72,-0.2333,-78.5167,Ecuador,0.01,,1,1328,1709.85,1871.57,
2022,SANTA ELENA,0.0,14.84,,,-2.2297,-80.8594,Ecuador,4.01,,non,240,33.33,52.18,
2022,SANTO DOMINGO DE LOS TSACHILAS,,,2250.0,1860.0,-0.2531,-79.1753,Ecuador,,,non,non,non,non,
2022,SUCUMBIOS,,,0.0,13114.57,0.0881,-76.8898,Ecuador,,,non,non,non,non,
2022,TUNGURAHUA,1.43,17.96,,,-1.2591,-78.5469,Ecuador,0.0,,non,200,19.62,39.01,
2022,ZAMORA CHINCHIPE,0.0,6.31,,,-4.0689,-78.9513,Ecuador,0.0,,non,47,2.5,8.81,
2023,AZUAY,0.63,9.34,,,-2.8974,-79.0045,Ecuador,0.0,,non,0,13.21,23.18,
2023,BOLIVAR,0.02,1.06,,,-1.5932,-79.0193,Ecuador,0.0,,non,0,2.38,3.45,
2023,CARCHI,161.18,31.1,,,0.81,-77.8355,Ecuador,52.35,,1,0,2508.84,2753.47,
2023,CAÑAR,0.44,2.02,,,-2.56,-78.94,Ecuador,0.01,,non,0,6.92,9.39,
2023,CHIMBORAZO,2.34,21.07,,,-1.6643,-78.6546,Ecuador,0.0,,non,0,40.42,63.83,
2023,COTOPAXI,0.55,12.78,,,-0.8082,-78.8084,Ecuador,0.0,,non,0,14.3,27.63,
2023,EL ORO,57.85,25.69,,,-3.2581,-79.9557,Ecuador,0.0,,non,0,209.78,293.31,
2023,ESMERALDAS,327.67,307.39,,,0.9682,-79.6517,Ecuador,0.0,,non,0,4656.29,5291.35,
2023,GALAPAGOS,0.02,25.25,,,-0.9538,-90.9656,Ecuador,0.0,,non,0,32.42,57.69,
2023,GUAYAS,1.89,0.19,,,-1.9426,-79.6971,Ecuador,0.0,,non,0,1.36,3.43,
2023,IMBABURA,315.56,202.62,,,0.353,-78.121,Ecuador,65.59,,non,0,2142.2,2725.96,
2023,LOJA,14.3,38.96,,,-3.9931,-79.2042,Ecuador,0.07,,non,0,797.12,850.44,
2023,LOS RIOS,4.64,49.59,,,-1.4998,-79.476,Ecuador,0.0,,non,0,69.87,124.1,
2023,MANABI,12.0,71.62,,,-0.7423,-80.0932,Ecuador,20.06,,non,0,994.71,1098.39,
2023,MORONA SANTIAGO,30.4,75.01,,,-2.9134,-78.2633,Ecuador,0.84,,non,0,343.29,449.54,
2023,NAPO,0.47,9.89,,,-0.9917,-77.8121,Ecuador,0.0,,non,0,37.55,47.91,
2023,ORELLANA,37.34,221.11,,,-0.4667,-76.9873,Ecuador,3.99,,non,0,98.97,361.41,
2023,PASTAZA,0.0,113.25,,,-1.4445,-78.0027,Ecuador,0.0,,non,0,314.36,427.61,
2023,PICHINCHA,5.47,204.41,,,-0.2333,-78.5167,Ecuador,0.04,,non,0,1357.73,1567.64,
2023,SANTA ELENA,0.0,19.5,,,-2.2297,-80.8594,Ecuador,4.05,,non,0,144.65,168.21,
2023,SANTO DOMINGO DE LOS TSACHILAS,14.01,84.2,,,-0.2531,-79.1753,Ecuador,0.0,,non,0,773.32,871.53,
2023,SUCUMBIOS,19.24,80.73,,,0.0881,-76.8898,Ecuador,0.0,,1,0,112.82,212.79,
2023,TUNGURAHUA,0.55,50.32,,,-1.2591,-78.5469,Ecuador,0.0,,non,0,95.19,146.06,
2023,ZAMORA CHINCHIPE,0.06,22.48,,,-4.0689,-78.9513,Ecuador,0.0,,non,0,15.98,38.51,
2024,AZUAY,0.37,17.47,,,-2.8974,-79.0045,Ecuador,7.91,,non,51,0,25.7514,
2024,BOLIVAR,1.0,13.55,,,-1.5932,-79.0193,Ecuador,2.26,,non,18,0,16.81,
2024,CARCHI,,,12371.98,0.0,0.81,-77.8355,Ecuador,,,non,non,non,non,
2024,CAÑAR,0.08,0.38,,,-2.56,-78.94,Ecuador,0.63,,non,28,0,1.088,
2024,CHIMBORAZO,0.05,34.48,,,-1.6643,-78.6546,Ecuador,6.31,,non,52,0,40.844,
2024,COTOPAXI,0.0,1.0,,,-0.8082,-78.8084,Ecuador,157.73,,non,42,0,158.73,
2024,EL ORO,,,12021.98,0.0,-3.2581,-79.9557,Ecuador,,,non,non,non,non,
2024,ESMERALDAS,,,1250.0,2200.0,0.9682,-79.6517,Ecuador,,,non,non,non,non,
2024,FRANCISCO DE ORELLANA,,,100.12,12.0,-2.8974,-79.0045,Ecuador,,,non,non,non,non,
2024,GALAPAGOS,0.0,7.81,,,-0.9538,-90.9656,Ecuador,1.22,,non,8,0,9.03,
2024,GUAYAS,,,8346.76,0.0,-1.9426,-79.6971,Ecuador,,,non,non,non,non,
2024,IMBABURA,,,3275.09,0.0,0.353,-78.121,Ecuador,,,non,non,non,non,
2024,LOJA,0.69,9.23,,,-3.9931,-79.2042,Ecuador,22.1,,non,62,0,32.02,
2024,LOS RIOS,588.01,454.39,,,-1.4998,-79.476,Ecuador,10.59,,non,154,1.46,1054.45,
2024,MANABI,0.11,156.59,,,-0.7423,-80.0932,Ecuador,0.89,,non,187,0,157.59,
2024,MORONA SANTIAGO,,,3250.0,0.0,-2.9134,-78.2633,Ecuador,,,non,non,non,non,
2024,NAPO,0.05,21.58,,,-0.9917,-77.8121,Ecuador,12.16,,non,24,0,33.794,
2024,PASTAZA,0.0,4.28,,,-1.4445,-78.0027,Ecuador,0.96,,non,29,0,5.24,
2024,PICHINCHA,,,611.11,0.0,-0.2333,-78.5167,Ecuador,,,non,non,non,non,
2024,SANTA ELENA,0.77,1.32,,,-2.2297,-80.8594,Ecuador,4.12,,non,48,1.67,7.876,
2024,SANTO DOMINGO DE LOS TSACHILAS,5.14,137.21,,,-0.2531,-79.1753,Ecuador,3.06,,non,77,0,145.41,
2024,SUCUMBIOS,0.02,1.11,,,0.0881,-76.8898,Ecuador,1.44,,non,28,0.01,2.575,
2024,TUNGURAHUA,4.27,54.34,,,-1.2591,-78.5469,Ecuador,17.32,,non,76,0,75.93,
2024,ZAMORA CHINCHIPE,0.02,2.16,,,-4.0689,-78.9513,Ecuador,7.14,,non,16,0,9.32,
2019,Amazonas,40.0,,,,-6.2291,-77.8724,Peru,,,,,,,28.0
2019,Áncash,517.0,,,,-9.5296,-77.5278,Peru,,,,,,,132.0
2019,Apurímac,600.0,,,,-14.027,-72.9826,Peru,,,,,,,48.0
2019,Arequipa,2139.0,,,,-16.409,-71.5375,Peru,,,,,,,78.0
2019,Ayacucho,6008.0,,,,-13.1588,-74.2239,Peru,,,,,,,453.0
2019,Cajamarca,101.0,,,,-7.1617,-78.5125,Peru,,,,,,,36.0
2019,Prov. Const. del Callao,4232.0,,,,-12.0219,-77.1143,Peru,,,,,,,407.0
2019,Cusco,4201.0,,,,-13.532,-71.9675,Peru,,,,,,,260.0
2019,Huancavelica,271.0,,,,-12.787,-74.9753,Peru,,,,,,,14.0
2019,Huánuco,9532.0,,,,-9.9306,-76.2422,Peru,,,,,,,390.0
2019,Ica,1199.0,,,,-14.0678,-75.7286,Peru,,,,,,,188.0
2019,Junín,1898.0,,,,-11.1582,-75.9936,Peru,,,,,,,161.0
2019,La Libertad,4055.0,,,,-8.1152,-79.0288,Peru,,,,,,,143.0
2019,Lambayeque,133.0,,,,-6.7011,-79.9061,Peru,,,,,,,86.0
2019,Lima Metropolitana,4995.0,,,,-12.0464,-77.0428,Peru,,,,,,,700.0
2019,Loreto,2778.0,,,,-3.7491,-73.2538,Peru,,,,,,,338.0
2019,Madre de Dios,461.0,,,,-11.9414,-69.8731,Peru,,,,,,,47.0
2019,Moquegua,236.0,,,,-17.1927,-70.9322,Peru,,,,,,,28.0
2019,Pasco,952.0,,,,-10.6822,-76.2565,Peru,,,,,,,120.0
2019,Piura,9156.0,,,,-5.1945,-80.6328,Peru,,,,,,,129.0
2019,Puno,2466.0,,,,-15.8402,-70.0219,Peru,,,,,,,249.0
2019,San Martín,1147.0,,,,-7.0509,-76.953,Peru,,,,,,,116.0
2019,Tacna,1416.0,,,,-18.0066,-70.2468,Peru,,,,,,,76.0
2019,Tumbes,1803.0,,,,-3.5669,-80.4515,Peru,,,,,,,54.0
2019,Ucayali,1088.0,,,,-8.3792,-74.5539,Peru,,,,,,,352.0
2020,Amazonas,71.0,,,,-6.2291,-77.8724,Peru,,,,,,,20.0
2020,Áncash,141.0,,,,-9.5296,-77.5278,Peru,,,,,,,72.0
2020,Apurímac,260.0,,,,-14.027,-72.9826,Peru,,,,,,,25.0
2020,Arequipa,1100.0,,,,-16.409,-71.5375,Peru,,,,,,,47.0
2020,Ayacucho,8211.0,,,,-13.1588,-74.2239,Peru,,,,,,,373.0
2020,Cajamarca,70.0,,,,-7.1617,-78.5125,Peru,,,,,,,36.0
2020,Prov. Const. del Callao,3319.0,,,,-12.0219,-77.1143,Peru,,,,,,,330.0
2020,Cusco,6337.0,,,,-13.532,-71.9675,Peru,,,,,,,140.0
2020,Huancavelica,48.0,,,,-12.787,-74.9753,Peru,,,,,,,6.0
2020,Huánuco,7210.0,,,,-9.9306,-76.2422,Peru,,,,,,,329.0
2020,Ica,574.0,,,,-14.0678,-75.7286,Peru,,,,,,,112.0
2020,Junín,5519.0,,,,-11.1582,-75.9936,Peru,,,,,,,114.0
2020,La Libertad,7518.0,,,,-8.1152,-79.0288,Peru,,,,,,,168.0
2020,Lambayeque,170.0,,,,-6.7011,-79.9061,Peru,,,,,,,64.0
2020,Lima Metropolitana,6437.0,,,,-12.0464,-77.0428,Peru,,,,,,,716.0
2020,Loreto,1774.0,,,,-3.7491,-73.2538,Peru,,,,,,,107.0
2020,Madre de Dios,202.0,,,,-11.9414,-69.8731,Peru,,,,,,,21.0
2020,Moquegua,7.0,,,,-17.1927,-70.9322,Peru,,,,,,,9.0
2020,Pasco,1232.0,,,,-10.6822,-76.2565,Peru,,,,,,,81.0
2020,Piura,1712.0,,,,-5.1945,-80.6328,Peru,,,,,,,151.0
2020,Puno,4662.0,,,,-15.8402,-70.0219,Peru,,,,,,,95.0
2020,San Martín,1118.0,,,,-7.0509,-76.953,Peru,,,,,,,168.0
2020,Tacna,566.0,,,,-18.0066,-70.2468,Peru,,,,,,,49.0
2020,Tumbes,200.0,,,,-3.5669,-80.4515,Peru,,,,,,,64.0
2020,Ucayali,2298.0,,,,-8.3792,-74.5539,Peru,,,,,,,270.0
2021,Amazonas,299.0,,,,-6.2291,-77.8724,Peru,,,,,,,40.0
2021,Áncash,532.0,,,,-9.5296,-77.5278,Peru,,,,,,,81.0
2021,Apurímac,523.0,,,,-14.027,-72.9826,Peru,,,,,,,47.0
2021,Arequipa,985.0,,,,-16.409,-71.5375,Peru,,,,,,,55.0
2021,Ayacucho,6464.0,,,,-13.1588,-74.2239,Peru,,,,,,,386.0
2021,Cajamarca,154.0,,,,-7.1617,-78.5125,Peru,,,,,,,46.0
2021,Prov. Const. del Callao,5256.0,,,,-12.0219,-77.1143,Peru,,,,,,,426.0
2021,Cusco,7387.0,,,,-13.532,-71.9675,Peru,,,,,,,204.0
2021,Huancavelica,93.0,,,,-12.787,-74.9753,Peru,,,,,,,11.0
2021,Huánuco,8128.0,,,,-9.9306,-76.2422,Peru,,,,,,,312.0
2021,Ica,987.0,,,,-14.0678,-75.7286,Peru,,,,,,,161.0
2021,Junín,4150.0,,,,-11.1582,-75.9936,Peru,,,,,,,161.0
2021,La Libertad,6693.0,,,,-8.1152,-79.0288,Peru,,,,,,,242.0
2021,Lambayeque,813.0,,,,-6.7011,-79.9061,Peru,,,,,,,112.0
2021,Lima Metropolitana,5509.0,,,,-12.0464,-77.0428,Peru,,,,,,,1013.0
2021,Loreto,2285.0,,,,-3.7491,-73.2538,Peru,,,,,,,127.0
2021,Madre de Dios,202.0,,,,-11.9414,-69.8731,Peru,,,,,,,56.0
2021,Moquegua,737.0,,,,-17.1927,-70.9322,Peru,,,,,,,20.0
2021,Pasco,425.0,,,,-10.6822,-76.2565,Peru,,,,,,,28.0
2021,Piura,4917.0,,,,-5.1945,-80.6328,Peru,,,,,,,224.0
2021,Puno,4356.0,,,,-15.8402,-70.0219,Peru,,,,,,,161.0
2021,San Martín,1834.0,,,,-7.0509,-76.953,Peru,,,,,,,138.0
2021,Tacna,908.0,,,,-18.0066,-70.2468,Peru,,,,,,,37.0
2021,Tumbes,967.0,,,,-3.5669,-80.4515,Peru,,,,,,,67.0
2021,Ucayali,1914.0,,,,-8.3792,-74.5539,Peru,,,,,,,330.0
2022,Amazonas,2444.0,,,,-6.2291,-77.8724,Peru,,,,,,,72.0
2022,Áncash,778.0,,,,-9.5296,-77.5278,Peru,,,,,,,98.0
2022,Apurímac,330.0,,,,-14.027,-72.9826,Peru,,,,,,,33.0
2022,Arequipa,1042.0,,,,-16.409,-71.5375,Peru,,,,,,,61.0
2022,Ayacucho,11031.0,,,,-13.1588,-74.2239,Peru,,,,,,,498.0
2022,Cajamarca,142.0,,,,-7.1617,-78.5125,Peru,,,,,,,56.0
2022,Prov. Const. del Callao,5102.0,,,,-12.0219,-77.1143,Peru,,,,,,,517.0
2022,Cusco,3486.0,,,,-13.532,-71.9675,Peru,,,,,,,165.0
2022,Huancavelica,116.0,,,,-12.787,-74.9753,Peru,,,,,,,12.0
2022,Huánuco,5058.0,,,,-9.9306,-76.2422,Peru,,,,,,,560.0
2022,Ica,984.0,,,,-14.0678,-75.7286,Peru,,,,,,,199.0
2022,Junín,7416.0,,,,-11.1582,-75.9936,Peru,,,,,,,241.0
2022,La Libertad,1210.0,,,,-8.1152,-79.0288,Peru,,,,,,,154.0
2022,Lambayeque,574.0,,,,-6.7011,-79.9061,Peru,,,,,,,71.0
2022,Lima Metropolitana,11351.0,,,,-12.0464,-77.0428,Peru,,,,,,,1072.0
2022,Loreto,1925.0,,,,-3.7491,-73.2538,Peru,,,,,,,121.0
2022,Madre de Dios,752.0,,,,-11.9414,-69.8731,Peru,,,,,,,86.0
2022,Moquegua,88.0,,,,-17.1927,-70.9322,Peru,,,,,,,16.0
2022,Pasco,814.0,,,,-10.6822,-76.2565,Peru,,,,,,,50.0
2022,Piura,2955.0,,,,-5.1945,-80.6328,Peru,,,,,,,142.0
2022,Puno,1810.0,,,,-15.8402,-70.0219,Peru,,,,,,,235.0
2022,San Martín,872.0,,,,-7.0509,-76.953,Peru,,,,,,,224.0
2022,Tacna,790.0,,,,-18.0066,-70.2468,Peru,,,,,,,63.0
2022,Tumbes,846.0,,,,-3.5669,-80.4515,Peru,,,,,,,130.0
2022,Ucayali,2958.0,,,,-8.3792,-74.5539,Peru,,,,,,,478.0
2023,Amazonas,3550.0,,,,-6.2291,-77.8724,Peru,,,,,,,85.0
2023,Áncash,209.0,,,,-9.5296,-77.5278,Peru,,,,,,,107.0
2023,Apurímac,501.0,,,,-14.027,-72.9826,Peru,,,,,,,36.0
2023,Arequipa,739.0,,,,-16.409,-71.5375,Peru,,,,,,,74.0
2023,Ayacucho,13482.0,,,,-13.1588,-74.2239,Peru,,,,,,,557.0
2023,Cajamarca,325.0,,,,-7.1617,-78.5125,Peru,,,,,,,70.0
2023,Prov. Const. del Callao,7245.0,,,,-12.0219,-77.1143,Peru,,,,,,,598.0
2023,Cusco,3013.0,,,,-13.532,-71.9675,Peru,,,,,,,141.0
2023,Huancavelica,132.0,,,,-12.787,-74.9753,Peru,,,,,,,14.0
2023,Huánuco,12232.0,,,,-9.9306,-76.2422,Peru,,,,,,,575.0
2023,Ica,826.0,,,,-14.0678,-75.7286,Peru,,,,,,,120.0
2023,Junín,2435.0,,,,-11.1582,-75.9936,Peru,,,,,,,182.0
2023,La Libertad,9819.0,,,,-8.1152,-79.0288,Peru,,,,,,,215.0
2023,Lambayeque,641.0,,,,-6.7011,-79.9061,Peru,,,,,,,96.0
2023,Lima Metropolitana,3190.0,,,,-12.0464,-77.0428,Peru,,,,,,,1024.0
2023,Loreto,16492.0,,,,-3.7491,-73.2538,Peru,,,,,,,190.0
2023,Madre de Dios,1385.0,,,,-11.9414,-69.8731,Peru,,,,,,,71.0
2023,Moquegua,107.0,,,,-17.1927,-70.9322,Peru,,,,,,,19.0
2023,Pasco,165.0,,,,-10.6822,-76.2565,Peru,,,,,,,173.0
2023,Piura,6350.0,,,,-5.1945,-80.6328,Peru,,,,,,,212.0
2023,Puno,1437.0,,,,-15.8402,-70.0219,Peru,,,,,,,113.0
2023,San Martín,1126.0,,,,-7.0509,-76.953,Peru,,,,,,,239.0
2023,Tacna,213.0,,,,-18.0066,-70.2468,Peru,,,,,,,56.0
2023,Tumbes,293.0,,,,-3.5669,-80.4515,Peru,,,,,,,73.0
2023,Ucayali,3087.0,,,,-8.3792,-74.5539,Peru,,,,,,,494.0
