Año,Ubicación,Cocaína (kg),Marihuana (kg),Sustancias Químicas Sólidas (kg),Sustancias Químicas Líquidas (L),Latitud,Longitud,País,Base de Coca (kg),Armas Incautadas,Laboratorios Destruidos,CASOS_x,HEROAINA_(KG),TOTAL_DROGAS_KG.,Intervenciones
2024,BOYACA,38280.98,,,,5.4545,-73.362,Colombia,15.27147,135.0,,,,,
2019,CALDAS,273558.686,,,,5.2983,-75.2479,Colombia,0.0,1510.0,,,,,
2020,CALDAS,251002.684,,,,5.2983,-75.2479,Colombia,0.0,994.0,,,,,
2021,CALDAS,232873.014,,,,5.2983,-75.2479,Colombia,0.0,882.0,,,,,
2022,CALDAS,236110.624,,,,5.2983,-75.2479,Colombia,558.6168,712.0,,,,,
2023,CALDAS,356905.575,,,,5.2983,-75.2479,Colombia,78.68693,1059.0,,,,,
2024,CALDAS,151615.304,,,,5.2983,-75.2479,Colombia,41.66029,189.0,,,,,
2019,CAQUETA,93558.634,,,,0.8699,-73.8419,Colombia,0.0,576.0,,,,,
2020,CAQUETA,112136.404,,,,0.8699,-73.8419,Colombia,0.0,438.0,,,,,
2021,CAQUETA,99229.162,,,,0.8699,-73.8419,Colombia,0.0,330.0,,,,,
2022,CAQUETA,86240.171,,,,0.8699,-73.8419,Colombia,2814.0313,282.0,,,,,
2023,CAQUETA,109994.28,,,,0.8699,-73.8419,Colombia,1241.04207,377.0,,,,,
2024,CAQUETA,49101.907,,,,0.8699,-73.8419,Colombia,898.2477,68.0,,,,,
2019,CASANARE,35254.022,,,,5.7589,-71.5724,Colombia,0.0,432.0,,,,,
2020,CASANARE,38098.04,,,,5.7589,-71.5724,Colombia,0.0,384.0,,,,,
2021,CASANARE,43096.648,,,,5.7589,-71.5724,Colombia,0.0,410.0,,,,,
2022,CASANARE,42345.351,,,,5.7589,-71.5724,Colombia,2.921,424.0,,,,,
2023,CASANARE,58525.346,,,,5.7589,-71.5724,Colombia,6.2166,661.0,,,,,
2024,CASANARE,34479.075,,,,5.7589,-71.5724,Colombia,23.28578,206.0,,,,,
2019,CAUCA,235877.022,,,,2.7052,-76.825,Colombia,0.0,1054.0,,,,,
2020,CAUCA,269862.582,,,,2.7052,-76.825,Colombia,0.0,1078.0,,,,,
2021,CAUCA,252638.176,,,,2.7052,-76.825,Colombia,0.0,1066.0,,,,,
2022,CAUCA,258018.047,,,,2.7052,-76.825,Colombia,11993.741,1111.0,,,,,
2023,CAUCA,319631.843,,,,2.7052,-76.825,Colombia,9975.249,1698.0,,,,,
2024,CAUCA,126264.541,,,,2.7052,-76.825,Colombia,10025.5683,287.0,,,,,
2019,CESAR,247634.93,,,,9.3373,-73.6531,Colombia,0.0,1354.0,,,,,
2020,CESAR,158530.958,,,,9.3373,-73.6531,Colombia,0.0,1272.0,,,,,
2021,CESAR,110095.416,,,,9.3373,-73.6531,Colombia,0.0,1054.0,,,,,
2022,CESAR,83802.611,,,,9.3373,-73.6531,Colombia,155.3626,1032.0,,,,,
2023,CESAR,133344.068,,,,9.3373,-73.6531,Colombia,319.4858,1639.0,,,,,
2024,CESAR,76961.82,,,,9.3373,-73.6531,Colombia,486.5176,346.0,,,,,
2019,CHOCO,34305.59,,,,5.6919,-76.6581,Colombia,0.0,476.0,,,,,
2020,CHOCO,35509.662,,,,5.6919,-76.6581,Colombia,0.0,486.0,,,,,
2021,CHOCO,43950.896,,,,5.6919,-76.6581,Colombia,0.0,774.0,,,,,
2022,CHOCO,36598.688,,,,5.6919,-76.6581,Colombia,10365.7938,503.0,,,,,
2023,CHOCO,62483.481,,,,5.6919,-76.6581,Colombia,8097.17543,736.0,,,,,
2024,CHOCO,17269.344,,,,5.6919,-76.6581,Colombia,4908.29247,110.0,,,,,
2019,CUNDINAMARCA,981718.14,,,,4.857,-74.0628,Colombia,0.0,4744.0,,,,,
2020,CUNDINAMARCA,1536588.298,,,,4.857,-74.0628,Colombia,0.0,4038.0,,,,,
2021,CUNDINAMARCA,897931.784,,,,4.857,-74.0628,Colombia,0.0,4368.0,,,,,
2022,CUNDINAMARCA,893499.661,,,,4.857,-74.0628,Colombia,146.43961,3393.0,,,,,
2023,CUNDINAMARCA,1164362.741,,,,4.857,-74.0628,Colombia,165.36058,5152.0,,,,,
2024,CUNDINAMARCA,440853.242,,,,4.857,-74.0628,Colombia,446.50843,885.0,,,,,
2019,CORDOBA,119019.774,,,,8.8499,-75.5745,Colombia,0.0,698.0,,,,,
2020,CORDOBA,112038.7,,,,8.8499,-75.5745,Colombia,0.0,614.0,,,,,
2021,CORDOBA,133554.78,,,,8.8499,-75.5745,Colombia,0.0,582.0,,,,,
2022,CORDOBA,151441.946,,,,8.8499,-75.5745,Colombia,123.3346,460.0,,,,,
2023,CORDOBA,210440.738,,,,8.8499,-75.5745,Colombia,1230.9885,793.0,,,,,
2024,CORDOBA,88787.998,,,,8.8499,-75.5745,Colombia,1063.4617,130.0,,,,,
2019,GUAINIA,4942.98,,,,2.5854,-68.5247,Colombia,0.0,10.0,,,,,
2020,GUAINIA,4253.8,,,,2.5854,-68.5247,Colombia,0.0,12.0,,,,,
2021,GUAINIA,3737.778,,,,2.5854,-68.5247,Colombia,0.0,10.0,,,,,
2022,GUAINIA,2944.0,,,,2.5854,-68.5247,Colombia,0.4781999999999999,16.0,,,,,
2023,GUAINIA,4044.42,,,,2.5854,-68.5247,Colombia,0.667,57.0,,,,,
2024,GUAINIA,1326.8,,,,2.5854,-68.5247,Colombia,0.298,9.0,,,,,
2019,LA GUAJIRA,132848.276,,,,11.5449,-72.907,Colombia,0.0,1184.0,,,,,
2020,LA GUAJIRA,129460.98,,,,11.5449,-72.907,Colombia,0.0,1010.0,,,,,
2021,LA GUAJIRA,128727.986,,,,11.5449,-72.907,Colombia,0.0,842.0,,,,,
2022,LA GUAJIRA,142830.656,,,,11.5449,-72.907,Colombia,99.063,828.0,,,,,
2023,LA GUAJIRA,213015.807,,,,11.5449,-72.907,Colombia,15.2343,1296.0,,,,,
2024,LA GUAJIRA,97473.927,,,,11.5449,-72.907,Colombia,22.3218,298.0,,,,,
2019,GUAVIARE,28000.818,,,,2.5726,-72.646,Colombia,0.0,110.0,,,,,
2020,GUAVIARE,31620.424,,,,2.5726,-72.646,Colombia,0.0,112.0,,,,,
2021,GUAVIARE,50522.832,,,,2.5726,-72.646,Colombia,0.0,190.0,,,,,
2022,GUAVIARE,51642.372,,,,2.5726,-72.646,Colombia,8948.4694,180.0,,,,,
2023,GUAVIARE,66846.9,,,,2.5726,-72.646,Colombia,11454.847,215.0,,,,,
2024,GUAVIARE,15425.768,,,,2.5726,-72.646,Colombia,5475.578,22.0,,,,,
